标题,摘要,发布时间,链接
东方财富财经早餐 9月26日周五,【东方财富财经早餐 9月26日周五】1、3家美国实体被商务部列入出口管制管控名单，3家美企被列入不可靠实体清单。2、4499元起售！小米17系列发布，雷军发表第六次年度演讲：曾因质疑陷入内耗，决心逆天改命。  3、国防部回应中国是否在建第四艘航母。,2025-09-26 06:00:38,http://finance.eastmoney.com/a/202509253523959915.html
东方财富财经早餐 9月25日周四,【东方财富财经早餐 9月25日周四】1、支持服务出口，9部门发布最新政策措施。2、六部门发布建材行业稳增长方案，严禁新增水泥、玻璃产能。3、美国正式公告：实施美欧贸易协议，征收欧盟汽车15%关税。,2025-09-25 06:00:42,http://finance.eastmoney.com/a/202509253522783372.html
东方财富财经早餐 9月24日周三,【东方财富财经早餐 9月24日周三】1、网信部门依法查处今日头条平台破坏网络生态案件。2、中美经贸磋商是否会讨论增加进口美国大豆？外交部回应。3、天普股份：股票交易异常波动，24日起停牌核查。,2025-09-24 06:00:26,http://finance.eastmoney.com/a/202509233521560311.html
东方财富财经早餐 9月23日周二,【东方财富财经早餐 9月23日周二】1、潘功胜、李云泽、吴清、朱鹤新同日发声，信号巨大。2、中美领导人会在APEC会晤吗？外交部：中美正在沟通之中。3、何立峰会见美国国会众议员代表团。,2025-09-23 06:00:28,http://finance.eastmoney.com/a/202509223520172876.html
东方财富财经早餐 9月22日周一,【东方财富财经早餐 9月22日周一】1、9月19日晚，国家主席习近平同美国总统特朗普通电话。2、国务院食安办等部门积极推进预制菜国家标准制定和餐饮环节使用明示。3、国新办9月22日将举行发布会，潘功胜、吴清等出席。,2025-09-22 06:00:07,http://finance.eastmoney.com/a/202509213519240487.html
东方财富财经早餐 9月19日周五,【东方财富财经早餐 9月19日周五】1、中国企业停止购买英伟达相关芯片？外交部回应。2、英伟达宣布50亿美元入股英特尔。3、投资者提问仅部分获答，寒武纪业绩会留下三大“疑团”。,2025-09-19 06:00:33,http://finance.eastmoney.com/a/202509183517665336.html
东方财富财经早餐 9月18日周四,【东方财富财经早餐 9月18日周四】1、美联储宣布降息25个基点，鲍威尔：此次降息是风险管理决策。2、工信部就智能网联汽车组合驾驶辅助相关标准公开征求意见。3、11连板天普股份核查工作已完成，今起复牌。,2025-09-18 06:00:22,http://finance.eastmoney.com/a/202509173516303279.html
东方财富财经早餐 9月17日周三,【东方财富财经早餐 9月17日周三】1、9部门发文！扩大服务消费，提出19条举措。2、首开股份：根据规定上市公司出现股票交易重大异常情形，可实施停牌并要求进行核查。3、天普股份：中昊芯英9.65亿元收购资金已到位。,2025-09-17 06:00:23,http://finance.eastmoney.com/a/202509163515168591.html
东方财富财经早餐 9月16日周二,【东方财富财经早餐 9月16日周二】1、中美就TikTok等经贸问题在西班牙马德里举行会谈。2、《求是》杂志发表习近平总书记重要文章《纵深推进全国统一大市场建设》。3、英伟达违反反垄断法，市场监管总局依法决定实施进一步调查。,2025-09-16 06:00:17,http://finance.eastmoney.com/a/202509153514062381.html
东方财富财经早餐 9月15日周一,【东方财富财经早餐 9月15日周一】1、中美在西班牙就有关经贸问题举行会谈。2、国常会部署进一步促进民间投资发展的若干措施。3、央行今日将开展6000亿元买断式逆回购操作。,2025-09-15 06:00:59,http://finance.eastmoney.com/a/202509143513118419.html
东方财富财经早餐 9月12日周五,【东方财富财经早餐 9月12日周五】1、国务院批复同意10个地区开展要素市场化配置综合改革试点。2、墨西哥计划对中国产汽车等产品征收50%关税，外交部、商务部回应。3、海外政策传闻扰动，创新药又受“惊吓”，业界：落地仍待观察。,2025-09-12 06:00:31,http://finance.eastmoney.com/a/202509113511416615.html
东方财富财经早餐 9月11日周四,【东方财富财经早餐 9月11日周四】1、特朗普称愿意对印度和中国大幅加征关税，外交部回应。2、六部门联合部署开展汽车行业网络乱象专项整治行动。3、复牌后仅2个交易日，11连板大牛股天普股份再次停牌核查。,2025-09-11 06:00:27,http://finance.eastmoney.com/a/202509103510176089.html
东方财富财经早餐 9月10日周三,【财经早餐】1、iPhone 17系列国行版售价公布，最贵版本达17999元。2、“寒王”大动作！寒武纪近40亿元定增获批，拟加码智能芯片等赛道。3、 宁德时代宜春锂矿复产在即，将尽快召回员工。,2025-09-10 06:00:18,http://finance.eastmoney.com/a/202509093509073539.html
东方财富财经早餐 9月9日周二,1、工信部向中国联通颁发卫星移动通信牌照。2、中芯国际拟发行股份购买中芯北方49%股权，A股股票9月9日起复牌。3、宇树科技回应IPO估值500亿元：消息不实。,2025-09-09 06:00:07,http://finance.eastmoney.com/a/202509083507895886.html
东方财富财经早餐 9月8日周一,【东方财富财经早餐 9月8日周一】1、中国证监会党委召开会议，坚决拥护党中央对易会满进行纪律审查和监察调查的决定。2、证监会：拟降低基金认申购费率，股票型基金认申购费率上限调降至0.8%。3、美国关税政策迎来重大调整！黄金、钨、铀等关键商品获豁免。,2025-09-08 06:00:58,http://finance.eastmoney.com/a/202509073506918072.html
东方财富财经早餐 9月5日周五,【财经早餐】1、国办印发《关于释放体育消费潜力进一步推进体育产业高质量发展的意见》。2、时隔四年公开再提麒麟芯片！华为最新三折叠手机发布，售价17999元起。3、央行：9月5日将开展10000亿元买断式逆回购操作。,2025-09-05 06:00:54,http://finance.eastmoney.com/a/202509043505161253.html
东方财富财经早餐 9月4日周四,【东方财富财经早餐 9月4日周四】1、财政部与中国人民银行联合工作组召开第二次组长会议。2、富时中国A50指数季度审核变更，纳入百济神州等四只个股。3、商务部：对原产于美国相关截止波长位移单模光纤征收反倾销税。,2025-09-04 06:00:18,http://finance.eastmoney.com/a/202509043503876056.html
东方财富财经早餐 9月3日周三,【东方财富财经早餐 9月3日周三】1、纪念中国人民抗日战争暨世界反法西斯战争胜利80周年大会和文艺晚会将于9月3日在京举行。2、宇树科技：预计四季度提交IPO申请。3、8月A股新开户数265万户，同比增长165%。,2025-09-03 06:00:44,http://finance.eastmoney.com/a/202509023502694430.html
东方财富财经早餐 9月2日周二,【东方财富财经早餐 9月2日周二】1、习近平：中方愿同各方共同建设好人工智能应用合作中心。2、九三阅兵具体安排来了：用时约70分钟，分两个步骤进行。3、两部门印发《工业母机高质量标准体系建设方案》。,2025-09-02 06:00:55,http://finance.eastmoney.com/a/202509013501428866.html
东方财富财经早餐 9月1日周一,【东方财富财经早餐 9月1日周一】1、国常会：研究在全国部分地区实施要素市场化配置综合改革试点工作。2、国家统计局：8月PMI为49.4%，比上月上升0.1个百分点。3、证监会召开专家学者座谈会，吴清：持续巩固资本市场回稳向好势头。,2025-09-01 06:00:39,http://finance.eastmoney.com/a/202508313500336745.html
东方财富财经早餐 8月29日周五,【东方财富财经早餐 8月29日周五】1、《中共中央 国务院关于推动城市高质量发展的意见》对外公布。2、寒武纪：预计2025年全年实现营业收入50亿元至70亿元。3、东芯股份：股票交易存在异常波动风险，停牌核查。,2025-08-29 06:00:40,http://finance.eastmoney.com/a/202508283498405551.html
东方财富财经早餐 8月28日周四,【东方财富财经早餐 8月28日周四】1、英伟达2026财年Q2营收467亿美元，公司批准额外600亿美元股票回购。2、工信部：推动手机等终端设备直连卫星加快推广应用。3、上海市发布关于加快推进城中村改造工作的实施意见。,2025-08-28 06:00:54,http://finance.eastmoney.com/a/202508283497004795.html
东方财富财经早餐 8月27日周三,【东方财富财经早餐 8月27日周三】1、国务院印发《关于深入实施“人工智能+”行动的意见》。2、特朗普称今年年内或尽快访问中国，外交部回应。3、寒武纪：上半年归母净利润10.38亿元，同比扭亏。,2025-08-27 06:00:49,http://finance.eastmoney.com/a/202508273495453585.html
东方财富财经早餐 8月26日周二,【东方财富财经早餐 8月26日周二】1、中共中央办公厅、国务院办公厅《关于推进绿色低碳转型加强全国碳市场建设的意见》对外公布。2、国家发改委主任郑栅洁主持召开座谈会，听取“十五五”时期扩内需稳就业意见建议。3、三部门联合印发《关于金融支持林业高质量发展的通知》。,2025-08-26 06:00:27,http://finance.eastmoney.com/a/202508263494029520.html
东方财富财经早餐 8月25日周一,【东方财富财经早餐 8月25日周一】1、国常会：听取实施大规模设备更新和消费品以旧换新政策情况汇报。2、英伟达要求部分零部件供应商暂停生产H20芯片，外交部回应。3、央行：8月25日将开展6000亿元MLF操作。,2025-08-25 06:00:49,http://finance.eastmoney.com/a/202508243492837852.html
东方财富财经早餐 8月22日周五,【东方财富财经早餐 8月22日周五】1、美国与欧盟发表联合声明，双方已就贸易协定框架达成一致。2、5000亿“准财政”工具将出，重点支持新兴产业、基础设施等。3、DeepSeek：UE8M0 FP8是针对即将发布的下一代国产芯片设计。,2025-08-22 06:00:32,http://finance.eastmoney.com/a/202508223491123063.html
东方财富财经早餐 8月21日周四,【东方财富财经早餐 8月21日周四】1、李强：加大高质量科技供给和政策支持，着力推动生物医药产业提质升级。2、港交所陈翊庭：港交所将研究24小时交易机制。3、两部门：对按照育儿补贴制度规定发放的育儿补贴免征个人所得税。,2025-08-21 06:00:53,http://finance.eastmoney.com/a/202508203489766793.html
东方财富财经早餐 8月20日周三,【东方财富财经早餐 8月20日周三】1、9月1日起实施！个人养老金新增3种领取情形。2、工信部等部门联合召开光伏产业座谈会，部署进一步规范光伏产业竞争秩序工作。3、东方甄选股价突然崩了，CEO出事了？公司紧急回应！,2025-08-20 06:00:12,http://finance.eastmoney.com/a/202508193488521520.html
东方财富财经早餐 8月19日周二,【东方财富财经早餐 8月19日周二】1、李强主持召开国务院全体会议：持续激发消费潜力，系统清理消费领域限制性措施。2、广电总局：改进电视剧集数和季播剧播出间隔时长等管理政策。3、淳中科技：如后续公司股票交易进一步出现异常，可能申请停牌核查。,2025-08-19 06:00:55,http://finance.eastmoney.com/a/202508183487277924.html
东方财富财经早餐 8月18日周一,【东方财富财经早餐 8月18日周一】1、央行：把促进物价合理回升作为把握货币政策的重要考量。2、特朗普：两周内对钢铁、芯片加关税，进口半导体税率最高或达300%。3、中国神华拟购13家公司，股票今日复牌。,2025-08-18 06:00:07,http://finance.eastmoney.com/a/202508173486204053.html
东方财富财经早餐 8月15日周五,【东方财富财经早餐 8月15日周五】1、国务院：在普通签证类别中新增K字签证，发给入境的外国青年科技人才。2、央行：8月15日将开展5000亿元买断式逆回购操作。3、香港金管局、香港证监会就稳定币相关市场波动发表联合声明。,2025-08-15 06:00:28,http://finance.eastmoney.com/a/202508143484510874.html
东方财富财经早餐 8月14日周四,【东方财富财经早餐 8月14日周四】1、央行：前七个月人民币贷款增加12.87万亿元，7月末M2余额同比增长8.8%。2、美国财长贝森特：对美联储9月会议感到乐观，有50个基点降息的可能。3、长城军工：如公司股价进一步上涨，公司或申请停牌核查。,2025-08-14 06:00:43,http://finance.eastmoney.com/a/202508133483288526.html
东方财富财经早餐 8月13日周三,【东方财富财经早餐 8月13日周三】1、三部门印发《个人消费贷款财政贴息政策实施方案》，助力释放居民消费潜力。2、九部门印发《服务业经营主体贷款贴息政策实施方案》。3、寒武纪：网传公司在某厂商预定大量载板订单等相关信息均为不实信息。,2025-08-13 06:00:28,http://finance.eastmoney.com/a/202508133482532987.html
东方财富财经早餐 8月12日周二,【东方财富财经早餐 8月12日周二】1、财政部、税务总局：增值税法实施条例公开征求意见。2、中央结算公司：简化境外央行类机构开户材料。3、中方是否收到美方延长关税暂停期限的最终决定？外交部回应。,2025-08-12 06:00:04,http://finance.eastmoney.com/a/202508113481715984.html
东方财富财经早餐 8月11日周一,【东方财富财经早餐 8月11日周一】1、证监会将继续严把发行上市入口关，不会出现大规模扩容的情况。2、国家统计局：7月CPI同比持平，PPI下降3.6%。3、北京楼市新政来了！符合条件家庭五环外购房不限套数。,2025-08-11 06:00:38,http://finance.eastmoney.com/a/202508103480710611.html
东方财富财经早餐 8月8日周五,【东方财富财经早餐 8月8日周五】1、标普维持我主权信用评级和展望不变，财政部回应。2、两名中国公民被控违反美方限制对华出口英伟达芯片，外交部回应。3、央行：今日将开展7000亿元买断式逆回购操作。,2025-08-08 06:00:15,http://finance.eastmoney.com/a/202508073479067061.html
东方财富财经早餐 8月7日周四,【东方财富财经早餐 8月7日周四】1、三部门：到2027年全国完成新改建农村公路30万公里。2、特朗普对印度加征25%的额外关税。3、国家电网用电负荷再创历史新高，17个省级电网负荷50次创新高。,2025-08-07 06:00:16,http://finance.eastmoney.com/a/202508063477893467.html
东方财富财经早餐 8月6日周三,【东方财富财经早餐 8月6日周三】1、国办：从2025年秋季学期起免除公办幼儿园学前一年在园儿童保育教育费。2、七部门联合印发《关于金融支持新型工业化的指导意见》。3、上交所：依规对上纬新材部分违规投资者采取暂停账户交易的自律监管措施。,2025-08-06 06:00:05,http://finance.eastmoney.com/a/202508053476807491.html
东方财富财经早餐 8月5日周二,【东方财富财经早餐 8月5日周二】1、加强个人境外收入监管，境外买卖股票收入也要缴税。2、上海官宣！发力集成电路、生物医药、人工智能等产业。3、上纬新材：股票将于8月5日复牌，预计上半年净利润同比减少32.91%。,2025-08-05 06:00:12,http://finance.eastmoney.com/a/202508043475644910.html
东方财富财经早餐 8月4日周一,【东方财富财经早餐 8月4日周一】1、央行：继续实施好适度宽松的货币政策。2、两部门：8月8日起对新发行的国债等利息收入恢复征收增值税。3、美国对中国实施网络攻击，外交部：中方将采取必要措施。,2025-08-04 06:00:50,http://finance.eastmoney.com/a/202508033474640676.html
东方财富财经早餐 8月1日周五,【东方财富财经早餐 8月1日周五】1、国常会审议通过《关于深入实施“人工智能+”行动的意见》。2、商务部：中美将继续推动已暂停的美方对等关税24%部分以及中方反制措施如期展期90天。3、国家发改委：纵深推进全国统一大市场建设，破除“内卷式”竞争。,2025-08-01 06:00:14,http://finance.eastmoney.com/a/202507313472972674.html
东方财富财经早餐 7月31日周四,【东方财富财经早餐 7月31日周四】1、中共中央政治局召开会议，决定召开二十届四中全会，分析研究当前经济形势和经济工作。2、美联储连续第五次维持利率不变。3、特朗普宣布8月1日起对进口半成品铜等产品征收50%关税。,2025-07-31 06:00:05,http://finance.eastmoney.com/a/202507303471767494.html
东方财富财经早餐 7月30日周三,【东方财富财经早餐 7月30日周三】1、中方是否邀请特朗普访问中国？外交部回应。2、中美经贸会谈在瑞典斯德哥尔摩举行，中美将继续推动美方已暂停的对等关税24%部分以及中方反制措施如期展期90天。3、中国光伏行业协会：部分自媒体发布的反内卷内容与实际情况严重不符。,2025-07-30 06:00:28,http://finance.eastmoney.com/a/202507293470651854.html
东方财富财经早餐 7月29日周二,【东方财富财经早餐 7月29日周二】1、国家育儿补贴方案公布！3周岁前每娃每年3600元。2、中美两国经贸团队在瑞典斯德哥尔摩举行中美经贸会谈。3、上海市经信委：争取年内实现浦东自动驾驶全域开放，不含陆家嘴等区域。,2025-07-29 06:00:02,http://finance.eastmoney.com/a/202507283469479638.html
东方财富财经早餐 7月28日周一,【东方财富财经早餐 7月28日周一】1、中国证监会：全力巩固市场回稳向好态势。2、美国与欧盟达成贸易协议。3、国务院常务会议部署逐步推行免费学前教育有关举措。,2025-07-28 06:00:58,http://finance.eastmoney.com/a/202507273468473573.html
东方财富财经早餐 7月25日周五,【东方财富财经早餐 7月25日周五】1、李强将出席2025世界人工智能大会暨人工智能全球治理高级别会议。2、两部门：完善低价倾销的认定标准，规范市场价格秩序，治理“内卷式”竞争。3、央行：7月25日将开展4000亿元MLF操作。,2025-07-25 06:00:07,http://finance.eastmoney.com/a/202507243466797475.html
东方财富财经早餐 7月24日周四,【东方财富财经早餐 7月24日周四】1、商务部：何立峰将于7月27日至30日赴瑞典与美方举行经贸会谈。2、公安机关将会同有关部门进一步加强“智能驾驶”规范管理。3、农业农村部：持续抓好产能调控，多措并举降本增效，推进生猪产业稳定健康发展。,2025-07-24 06:00:14,http://finance.eastmoney.com/a/202507243465742060.html
东方财富财经早餐 7月23日周三,【东方财富财经早餐 7月23日周三】1、外汇局释放稳汇率信号，上半年外资净增持境内股票和基金超百亿美元。2、央行：二季度房地产贷款增速回升。3、市场监管总局暂停对杜邦中国集团有限公司反垄断调查程序。,2025-07-23 06:00:26,http://finance.eastmoney.com/a/202507233464553230.html
东方财富财经早餐 7月22日周二,【东方财富财经早餐 7月22日周二】1、中美元首将在未来几月内会面？外交部回应。2、李强签署国务院令，公布《住房租赁条例》，9月15日起施行。3、《海南自由贸易港跨境资产管理试点业务实施细则》发布。,2025-07-22 06:00:41,http://finance.eastmoney.com/a/202507223463257378.html
东方财富财经早餐 7月21日周一,【东方财富财经早餐 7月21日周一】1、雅鲁藏布江下游水电工程开工，总投资约1.2万亿。2、国家出口管制工作协调机制办公室部署推进打击战略矿产走私出口专项行动。3、美商务部宣布对中国阳极级石墨征收93.5%反倾销税，外交部回应。,2025-07-21 06:00:01,http://finance.eastmoney.com/a/202507203462073423.html
东方财富财经早餐 7月18日周五,【东方财富财经早餐 7月18日周五】1、财政部、税务总局调整超豪华小汽车消费税政策。2、特朗普：对日征收25%关税，或很快与印度达成协定。3、历史第二高产年，今年全国夏粮产量2994.8亿斤。,2025-07-18 06:00:09,http://finance.eastmoney.com/a/202507183460332028.html
东方财富财经早餐 7月17日周四,【东方财富财经早餐 7月17日周四】1、国常会研究做强国内大循环重点政策举措落实工作。2、王沪宁出席全方位扩大国内需求调研协商座谈会。3、何立峰：中国将做全球产业链供应链互利共赢的推动者。,2025-07-17 06:00:21,http://finance.eastmoney.com/a/202507173459186091.html
东方财富财经早餐 7月16日周三,【东方财富财经早餐 7月16日周三】1、《求是》杂志发表习近平总书记重要文章《坚定不移推进高水平对外开放》。2、美财长最新放风：无需担忧美中暂停加征部分关税截止日期，双方谈判“态势良好”。3、城市发展从增量到存量，中央城市工作会议传递六大信号。,2025-07-16 06:00:31,http://finance.eastmoney.com/a/202507153457930516.html
东方财富财经早餐 7月15日周二,【东方财富财经早餐 7月15日周二】1、中共中央：依法严惩操纵市场、内幕交易、非法集资、贷款诈骗、洗钱等金融领域违法犯罪。2、央行：上半年人民币贷款增加12.92万亿元，6月末M2余额同比增长8.3%。3、央行：7月15日将开展14000亿元买断式逆回购操作。,2025-07-15 06:00:02,http://finance.eastmoney.com/a/202507143456672169.html
东方财富财经早餐 7月14日周一,【东方财富财经早餐 7月14日周一】1、上交所发布进一步深化科创板改革配套业务规则。2、险资长周期考核机制落地，A股有望迎万亿级增量资金。3、特朗普称对墨西哥、欧盟征收30%关税。,2025-07-14 06:00:42,http://finance.eastmoney.com/a/202507133455507745.html
东方财富财经早餐 7月11日周五,【东方财富财经早餐 7月11日周五】1、上调2%！2025年退休人员养老金调整。2、商务部回应美商务部长称可能于8月初与中方谈判代表会面。3、北方稀土、包钢股份均公告稀土产品涨价。,2025-07-11 06:00:31,http://finance.eastmoney.com/a/202507103453718749.html
东方财富财经早餐 7月10日周四,【东方财富财经早餐 7月10日周四】1、国办印发《关于进一步加大稳就业政策支持力度的通知》。2、特朗普征税函第二波直击八国，其中对巴西征收50%关税。3、特朗普表示最近中美关系有所改善，中方回应。,2025-07-10 06:00:39,http://finance.eastmoney.com/a/202507093452524560.html
东方财富财经早餐 7月9日周三,【东方财富财经早餐 7月9日周三】1、特朗普：“对等关税”将于8月1日开始实施，该日期没有变化，以后也不会改变。2、美财长称未来数周拟与中方会谈，推动中美贸易等议题磋商。3、关于硅料收储，通威股份回应：没有更确切消息。,2025-07-09 06:00:00,http://finance.eastmoney.com/a/202507083451357949.html
东方财富财经早餐 7月8日周二,【东方财富财经早餐 7月8日周二】1、习近平在阳泉考察制造业企业发展。2、美国总统特朗普宣布对韩国和日本征收25%的关税。3、四部门：到2027年底，力争全国范围内大功率充电设施超过10万台。,2025-07-08 06:00:05,http://finance.eastmoney.com/a/202507083450269759.html
东方财富财经早餐 7月7日周一,【东方财富财经早餐 7月7日周一】1、沪深北交易所程序化交易管理实施细则今日起实施。2、特朗普：新关税“十有八九”从8月1日开始生效。3、财政部：在政府采购活动中对自欧盟进口的医疗器械采取相关措施。,2025-07-07 06:00:23,http://finance.eastmoney.com/a/202507073449340547.html
东方财富财经早餐 7月4日周五,【东方财富财经早餐 7月4日周五】1、美国总统特朗普将于当地时间4日17时签署“大而美”法案。2、国务院发文复制推广上海自贸试验区77条试点措施。3、工信部召开光伏行业制造业企业座谈会：综合治理光伏行业低价无序竞争。,2025-07-04 06:00:22,http://finance.eastmoney.com/a/202507043447848868.html
东方财富财经早餐 7月3日周四,【东方财富财经早餐 7月3日周四】1、证监会：始终把维护市场稳定作为监管工作首要任务，推动健全常态化稳市机制安排。2、央行：8月1日起，现金买金超10万元需上报。3、A股上半年新开户1260万户，同比增长超32%。,2025-07-03 06:00:17,http://finance.eastmoney.com/a/202507033446711536.html
东方财富财经早餐 7月2日周三,【东方财富财经早餐 7月2日周三】1、习近平主持召开中央财经委员会第六次会议。2、美国参议院通过“大而美”法案。3、价格跌超70%后，光伏玻璃企业再度酝酿减产。,2025-07-02 06:00:43,http://finance.eastmoney.com/a/202507023445530591.html
东方财富财经早餐 7月1日周二,【东方财富财经早餐 7月1日周二】1、三部门发布境外投资者以分配利润直接投资税收抵免政策。2、创业板明确“轻资产、高研发”标准：约200家企业或受益。3、拟募资80亿元！摩尔线程IPO获受理，系科创板年内最大IPO。,2025-07-01 06:00:14,http://finance.eastmoney.com/a/202506303444235912.html
东方财富财经早餐 6月30日周一,【东方财富财经早餐 6月30日周一】1、央行：探索常态化的制度安排，维护资本市场稳定。2、陈茂波：将推动发行人把稳定币应用推广至不同场景。3、沪深交易所：拟将主板风险警示股票涨跌幅限制比例调整为10%。,2025-06-30 06:00:42,http://finance.eastmoney.com/a/202506293443261117.html
东方财富财经早餐 6月27日周五,【东方财富财经早餐 6月27日周五】1、3分钟大定突破200000台！小米YU7价格定了！AI眼镜1999元起。2、我国自主研发新一代CPU发布，不依赖任何境外供应链。3、中办、国办发布关于全面推进江河保护治理的意见。,2025-06-27 06:00:12,http://finance.eastmoney.com/a/202506263441581554.html
东方财富财经早餐 6月26日周四,【东方财富财经早餐 6月26日周四】1、李强出席2025年夏季达沃斯论坛开幕式并致辞。2、一张牌照引爆大金融板块，国泰君安国际股价一天翻2倍。3、今晚19点小米举行发布会，将发布小米YU7、AI眼镜等。,2025-06-26 06:00:21,http://finance.eastmoney.com/a/202506253440392924.html
东方财富财经早餐 6月25日周三,【财经早餐】1、六部门联合印发《关于金融支持提振和扩大消费的指导意见》。2、鲍威尔重申美联储降息前将采取观望态度，待关税冲击明确展现。3、连续超额续作，央行6月25日将开展3000亿元MLF操作。,2025-06-25 06:00:03,http://finance.eastmoney.com/a/202506243439239991.html
东方财富财经早餐 6月24日周二,【财经早餐】1、李强将出席第十六届夏季达沃斯论坛。2、伊朗实施报复，导弹打击美国驻卡塔尔空军基地。3、李强签署国务院令，公布《互联网平台企业涉税信息报送规定》。4、特朗普：以色列和伊朗已完全同意全面停火。,2025-06-24 06:00:43,http://finance.eastmoney.com/a/202506233438026353.html
东方财富财经早餐 6月23日周一,【东方财富财经早餐 6月23日周一】1、伊朗议会赞成关闭霍尔木兹海峡。2、美国务卿：美国准备23日与伊朗对话。3、比特币大跳水，跌破10万美元大关。,2025-06-23 06:00:05,http://finance.eastmoney.com/a/202506223437058917.html
东方财富财经早餐 6月20日周五,【东方财富财经早餐 6月20日周五】1、白宫：特朗普将在两周内决定是否攻击伊朗。2、特朗普将TikTok“不卖就禁用”法案执行宽限期再延长90天。3、商务部：将依法依规不断加快对稀土相关出口许可申请的审查。,2025-06-20 06:00:00,http://finance.eastmoney.com/a/202506193435381979.html
