标题,内容,发布日期,发布时间
湖北“十五五”规划建议：完善生育支持政策体系和激励措施 有效降低家庭生育养育教育成本,【湖北“十五五”规划建议：完善生育支持政策体系和激励措施 有效降低家庭生育养育教育成本】财联社12月5日电，中共湖北省委关于制定全省国民经济和社会发展第十五个五年规划的建议发布，其中提到，促进人口高质量发展。健全覆盖全人群、全生命周期的人口服务体系。倡导积极婚育观和文明向上的婚俗文化，提倡适龄婚育、优生优育。完善生育支持政策体系和激励措施，有效降低家庭生育养育教育成本。加强生育医疗保障，完善生育保险制度，落实婚育休假制度，实施早孕关爱行动、孕育和出生缺陷防治能力提升计划。扩大普惠托育服务供给，发展托幼一体化服务，逐步完善相关制度。加强妇女和儿童健康服务。积极应对人口老龄化，健全养老事业和养老产业协同发展政策机制。弘扬中华民族孝亲敬老传统美德，维护老年人合法权益，推进老年友好型社会建设。优化居家为基础、社区为依托、机构为专业支撑、医养结合的多元供给格局，健全养老服务体系。加强公共设施适老化和无障碍改造，增强康复辅助器具扶老助残服务能力。发展医育结合服务。推行长期护理保险，健全失能、失智老人照护体系，扩大康复护理、安宁疗护服务供给。办好老年大学（学校），加强基层老年协会建设。稳妥实施渐进式延迟法定退休年龄，优化就业、社保等方面年龄限制政策，积极开发老年人力资源，加快发展银发经济。,2025-12-05,08:47:23
两市融资余额增加13.09亿元,【两市融资余额增加13.09亿元】财联社12月5日电，截至12月4日，上交所融资余额报12476.16亿元，较前一交易日增加6.27亿元；深交所融资余额报12113.57亿元，较前一交易日增加6.82亿元；两市合计24589.73亿元，较前一交易日增加13.09亿元。,2025-12-05,08:47:56
,《科创板日报》5日讯，博睿康医疗科技（上海）有限公司研发的脑机接口系统NEO，计划于近期向国家药监局提交三类创新医疗器械注册申请，或成为全球首批进入注册审批通道的植入式脑机接口产品之一。,2025-12-05,08:48:31
加沙地带反哈马斯民兵头目被打死,【加沙地带反哈马斯民兵头目被打死】财联社12月5日电，据央视新闻报道，4日，加沙地带反对巴勒斯坦伊斯兰抵抗运动（哈马斯）的民兵组织“人民力量”证实，其头目亚西尔·阿布·沙巴卜已被打死。据悉，沙巴卜死于部族“内部冲突”，而非死于哈马斯之手。该民兵组织一名消息人士称，该组织内部不同家族和团体之间发生争斗，冲突随后升级为枪战，沙巴卜死于枪击。一名以色列安全官员当天晚些时候表示，沙巴卜因“与以色列合作”与人发生争执被殴打，他被送到以色列一家医院后，因伤势过重不治身亡。,2025-12-05,08:59:08
国内商品期货早盘开盘 集运欧线涨超3%,【国内商品期货早盘开盘 集运欧线涨超3%】财联社12月5日电，国内商品期货早盘开盘，沪银跌超2%，烧碱、氧化铝等跌超1%，棉纱、纯碱等小幅下跌；集运欧线涨超3%，焦炭、玉米等涨超1%，NR、热卷等小幅上涨。,2025-12-05,09:00:06
,财联社12月5日电，富时中国A50指数期货在上一交易日夜盘收涨0.17%的基础上低开，现涨0.12%。,2025-12-05,09:00:25
俄称将针对丹麦为乌克兰建军工厂采取措施,【俄称将针对丹麦为乌克兰建军工厂采取措施】财联社12月5日电，据央视新闻报道，当地时间12月4日，俄罗斯外交部发言人扎哈罗娃表示，针对丹麦为乌克兰建设军工厂，俄方将继续坚定捍卫自身合法利益并采取相应措施消除国家安全威胁。丹麦与其他一些俄罗斯的敌对国家试图破坏外交解决乌克兰危机的努力，造成局势进一步升级的风险。日前，位于丹麦日德兰半岛的乌克兰军工企业一座工厂启动建设，预计将于2026年秋季投产。该工厂将生产导弹及部分无人机所需的固体燃料推进剂，为乌军远程打击能力提供支撑。,2025-12-05,09:04:38
深交所：胜通能源于12月5日开市起临时停牌,【深交所：胜通能源于12月5日开市起临时停牌】财联社12月5日电，深交所发布公告，胜通能源股份有限公司拟筹划控制权变更事项，根据本所《股票上市规则》和《上市公司自律监管指引第6号——停复牌》的有关规定，经公司申请，公司股票（证券简称：胜通能源，证券代码：001331）于2025年12月5日开市起临时停牌，待公司通过指定媒体披露相关公告后复牌。,2025-12-05,09:06:09
美军3架坠海超级大黄蜂战机未找回,【美军3架坠海超级大黄蜂战机未找回】财联社12月5日电，据CCTV国际时讯援引美国媒体当地时间12月4日报道，2024年12月22日至今年5月6日，美军航母“杜鲁门”号在中东部署、参与针对也门胡塞武装的作战行动期间，发生一连串事故，包括：航母与一艘货船发生碰撞，一架F/A-18E“超级大黄蜂”战斗机从甲板坠落（一辆甲板牵引车同时坠落），一架F/A-18F“超级大黄蜂”战斗机在降落时冲出甲板，还有一架F/A-18F“超级大黄蜂”战斗机被护航舰艇击落。美国海军最新公布了这些事故的调查结果摘要。据知情人士透露，这一连串事故中的3架“超级大黄蜂”战斗机均未被找回。,2025-12-05,09:06:27
王沪宁对印度尼西亚进行正式友好访问,"【王沪宁对印度尼西亚进行正式友好访问】财联社12月5日电，据外交部官网，当地时间2025年12月3日至4日，应印度尼西亚人民协商会议主席穆扎尼邀请，全国政协主席王沪宁对印度尼西亚进行正式友好访问，在雅加达分别会见印尼总统普拉博沃、国会议长布安、地方代表理事会主席纳加穆丁，同印尼人民协商会议主席穆扎尼会谈。

会见普拉博沃时，王沪宁转达了习近平主席的亲切问候和良好祝愿，并就苏门答腊地区遭受严重暴雨洪涝灾害表示慰问。王沪宁表示，习近平主席同总统先生多次会晤，确立了“五大支柱”双边合作格局，为两国命运共同体建设指明战略方向。中方愿同印尼落实两国元首重要共识，加强发展战略对接，携手走好具有各自特色的现代化道路，为世界和平、稳定、繁荣作出更大贡献。中方坚定支持印尼政府维护政治和社会稳定，实现更大发展。相信印尼会恪守一个中国原则，支持中国人民反对“台独”分裂、争取国家统一的正义事业。

普拉博沃请王沪宁转达对习近平主席的亲切问候和诚挚敬意。普拉博沃表示，印尼由衷钦佩中国取得举世瞩目的发展成就，愿学习借鉴中方成功经验，走好自身独立自主发展道路。印尼重申坚持一个中国原则，台湾是中国的一部分。印尼对双边关系前景充满信心，愿巩固两国关系良好发展势头，推动实现更高水平的全面战略伙伴关系。

同穆扎尼会谈时，王沪宁表示，建交75年来，中印尼关系取得长足发展。中方将坚定不移推动高质量发展，扩大高水平对外开放，以中国式现代化新成就为印尼等友好国家带来新机遇。中国全国政协愿同印尼人民协商会议深化互学互鉴，更好服务各自国家现代化事业和中印尼命运共同体建设。

穆扎尼高度评价两国各领域合作成果，表示印尼人民协商会议愿同中国全国政协加强交流，落实好两国元首重要共识，助力两国关系发展。

会见布安和纳加穆丁时，王沪宁表示，中方愿同印尼一道推动两国友好互信和战略合作不断迈向更高水平，更好造福两国人民。对方表示，两国友谊源远流长，中国是印尼重要战略合作伙伴，近年来双边关系深入发展，惠及两国人民。印尼高度赞赏、积极支持中方“一带一路”倡议，印尼国会和地方代表理事会愿继续为深化两国互利合作发挥积极作用。

访问期间，王沪宁介绍了中共二十届四中全会情况，表示中方愿推动中国式现代化与“黄金印尼2045”愿景深度对接，推进双边务实合作。印尼方祝贺中共二十届四中全会胜利召开，表示愿同中方共同推动两国关系迈上新台阶。

王东峰等参加上述活动。",2025-12-05,09:07:55
