商品,日期,今值,预测值,前值
美国国内生产总值(GDP),2015-01-30,2.6,3.0,5.0
美国国内生产总值(GDP),2015-02-27,2.2,2.1,2.6
美国国内生产总值(GDP),2015-03-27,2.2,2.4,2.2
美国国内生产总值(GDP),2015-04-29,0.2,1.0,2.2
美国国内生产总值(GDP),2015-05-29,-0.7,-0.8,0.2
美国国内生产总值(GDP),2015-06-24,-0.2,-0.2,-0.7
美国国内生产总值(GDP),2015-07-30,2.3,2.6,0.6
美国国内生产总值(GDP),2015-08-27,3.7,3.2,2.3
美国国内生产总值(GDP),2015-09-25,3.9,3.7,3.7
美国国内生产总值(GDP),2015-10-29,1.5,1.6,3.9
美国国内生产总值(GDP),2015-11-24,2.1,2.1,1.5
美国国内生产总值(GDP),2015-12-22,2.0,1.9,2.1
美国国内生产总值(GDP),2016-01-29,0.7,0.8,2.0
美国国内生产总值(GDP),2016-02-26,1.0,0.4,0.7
美国国内生产总值(GDP),2016-03-25,1.4,1.0,1.0
美国国内生产总值(GDP),2016-04-28,0.5,0.7,1.4
美国国内生产总值(GDP),2016-05-27,0.8,0.9,0.5
美国国内生产总值(GDP),2016-06-28,1.1,1.0,0.8
美国国内生产总值(GDP),2016-07-29,1.2,2.6,0.8
美国国内生产总值(GDP),2016-08-26,1.1,1.1,1.2
美国国内生产总值(GDP),2016-09-29,1.4,1.3,1.1
美国国内生产总值(GDP),2016-10-28,2.9,2.5,1.4
美国国内生产总值(GDP),2016-11-29,3.2,3.0,2.9
美国国内生产总值(GDP),2016-12-22,3.5,3.3,3.2
美国国内生产总值(GDP),2017-01-27,1.9,2.2,3.5
美国国内生产总值(GDP),2017-02-28,1.9,2.1,1.9
美国国内生产总值(GDP),2017-03-30,2.1,2.0,1.9
美国国内生产总值(GDP),2017-04-28,0.7,1.2,2.1
美国国内生产总值(GDP),2017-05-26,1.2,0.9,0.7
美国国内生产总值(GDP),2017-06-29,1.4,1.2,1.2
美国国内生产总值(GDP),2017-07-28,2.6,2.6,1.2
美国国内生产总值(GDP),2017-08-30,3.0,2.7,2.6
美国国内生产总值(GDP),2017-09-28,3.1,3.0,3.0
美国国内生产总值(GDP),2017-10-27,3.0,2.5,3.1
美国国内生产总值(GDP),2017-11-29,3.3,3.2,3.0
美国国内生产总值(GDP),2017-12-21,3.2,3.3,3.3
美国国内生产总值(GDP),2018-01-26,2.6,3.0,3.2
美国国内生产总值(GDP),2018-02-28,2.5,2.5,2.6
美国国内生产总值(GDP),2018-03-28,2.9,2.7,2.5
美国国内生产总值(GDP),2018-04-27,2.3,2.0,2.3
美国国内生产总值(GDP),2018-05-30,2.2,2.3,2.3
美国国内生产总值(GDP),2018-06-28,2.0,2.2,2.2
美国国内生产总值(GDP),2018-07-27,4.1,4.1,2.2
美国国内生产总值(GDP),2018-08-29,4.2,4.0,4.1
美国国内生产总值(GDP),2018-09-27,4.2,4.2,4.2
美国国内生产总值(GDP),2018-10-26,3.5,3.3,4.2
美国国内生产总值(GDP),2018-11-28,3.5,3.6,3.5
美国国内生产总值(GDP),2018-12-21,3.4,3.5,3.5
美国国内生产总值(GDP),2019-02-28,2.6,2.6,3.4
美国国内生产总值(GDP),2019-03-28,2.2,2.4,2.6
美国国内生产总值(GDP),2019-04-26,3.2,2.0,2.2
美国国内生产总值(GDP),2019-05-30,3.1,3.1,3.2
美国国内生产总值(GDP),2019-06-27,3.1,3.1,3.1
美国国内生产总值(GDP),2019-07-26,2.1,1.8,3.1
美国国内生产总值(GDP),2019-08-29,2.0,2.0,2.1
美国国内生产总值(GDP),2019-09-26,2.0,2.0,2.0
美国国内生产总值(GDP),2019-10-30,1.9,1.6,2.0
美国国内生产总值(GDP),2019-11-27,2.1,1.9,2.0
美国国内生产总值(GDP),2019-12-20,2.1,2.1,2.0
美国国内生产总值(GDP),2020-01-30,2.1,2.1,2.1
美国国内生产总值(GDP),2020-02-27,2.1,2.1,2.1
美国国内生产总值(GDP),2020-03-26,2.1,2.1,2.1
美国国内生产总值(GDP),2020-04-29,-4.8,-4.0,4.8
美国国内生产总值(GDP),2020-05-28,-5.0,-4.8,2.1
美国国内生产总值(GDP),2020-06-25,-5.0,-5.0,2.1
美国国内生产总值(GDP),2020-07-30,-32.9,-34.1,-5.0
美国国内生产总值(GDP),2020-08-27,-31.7,-32.5,-5.0
美国国内生产总值(GDP),2020-09-30,-31.4,-31.7,-5.0
美国国内生产总值(GDP),2020-10-29,33.1,31.0,-31.4
美国国内生产总值(GDP),2020-11-25,33.1,33.2,33.1
美国国内生产总值(GDP),2020-12-22,33.4,33.1,-31.4
美国国内生产总值(GDP),2021-01-28,4.0,4.0,33.4
美国国内生产总值(GDP),2021-02-25,4.1,4.2,4.0
美国国内生产总值(GDP),2021-03-25,4.3,4.1,33.4
美国国内生产总值(GDP),2021-04-29,6.4,6.1,4.3
美国国内生产总值(GDP),2021-05-27,6.4,6.5,6.4
美国国内生产总值(GDP),2021-06-24,6.4,6.4,4.3
美国国内生产总值(GDP),2021-07-29,6.5,8.5,6.3
美国国内生产总值(GDP),2021-08-26,6.6,6.7,6.5
美国国内生产总值(GDP),2021-09-30,6.7,6.6,6.6
美国国内生产总值(GDP),2021-10-28,2.0,2.7,6.7
美国国内生产总值(GDP),2021-11-24,2.1,2.2,6.7
美国国内生产总值(GDP),2021-12-22,2.3,2.1,6.7
美国国内生产总值(GDP),2022-01-27,6.9,5.5,2.3
美国国内生产总值(GDP),2022-02-24,7.0,7.0,6.9
美国国内生产总值(GDP),2022-03-30,6.9,7.1,7.0
美国国内生产总值(GDP),2022-04-28,-1.4,1.1,6.9
美国国内生产总值(GDP),2022-05-26,-1.5,-1.3,-1.4
美国国内生产总值(GDP),2022-06-29,-1.6,-1.5,-1.5
美国国内生产总值(GDP),2022-07-28,-0.9,0.5,-1.6
美国国内生产总值(GDP),2022-08-25,-0.6,-0.8,-0.9
美国国内生产总值(GDP),2022-09-29,-0.6,-0.6,-1.6
美国国内生产总值(GDP),2022-10-27,2.6,2.4,-0.6
美国国内生产总值(GDP),2022-11-30,2.9,2.7,2.6
美国国内生产总值(GDP),2022-12-22,3.2,2.9,-0.6
美国国内生产总值(GDP),2023-01-26,2.9,2.6,3.2
美国国内生产总值(GDP),2023-02-23,2.7,2.9,3.2
美国国内生产总值(GDP),2023-03-30,2.6,2.7,3.2
美国国内生产总值(GDP),2023-04-27,1.1,2.0,2.6
美国国内生产总值(GDP),2023-05-25,1.3,1.1,2.6
美国国内生产总值(GDP),2023-06-29,2.0,1.4,2.6
美国国内生产总值(GDP),2023-07-27,2.4,1.8,2.0
美国国内生产总值(GDP),2023-08-30,2.1,2.4,2.0
美国国内生产总值(GDP),2023-09-28,2.1,2.1,2.0
美国国内生产总值(GDP),2023-10-26,4.9,4.3,2.1
美国国内生产总值(GDP),2023-11-29,5.2,4.9,2.1
美国国内生产总值(GDP),2023-12-21,4.9,5.2,2.1
美国国内生产总值(GDP),2024-01-25,3.3,2.0,4.9
美国国内生产总值(GDP),2024-02-28,3.2,3.3,4.9
美国国内生产总值(GDP),2024-03-28,3.4,3.2,4.9
美国国内生产总值(GDP),2024-04-25,1.6,2.5,3.4
美国国内生产总值(GDP),2024-05-30,1.3,1.6,3.4
美国国内生产总值(GDP),2024-06-27,1.4,1.3,3.4
美国国内生产总值(GDP),2024-07-25,2.8,2.0,1.4
美国国内生产总值(GDP),2024-08-29,3.0,2.8,1.4
美国国内生产总值(GDP),2024-09-26,3.0,3.0,1.6
美国国内生产总值(GDP),2024-10-30,2.8,3.0,3.0
美国国内生产总值(GDP),2024-11-27,2.8,2.8,3.0
美国国内生产总值(GDP),2024-12-19,3.1,2.8,3.0
美国国内生产总值(GDP),2025-01-30,2.3,2.7,3.1
美国国内生产总值(GDP),2025-02-27,2.3,2.3,3.1
美国国内生产总值(GDP),2025-03-27,2.4,2.3,3.1
美国国内生产总值(GDP),2025-04-30,-0.3,0.2,2.4
美国国内生产总值(GDP),2025-05-29,-0.2,-0.3,2.4
美国国内生产总值(GDP),2025-06-26,-0.5,-0.2,2.4
美国国内生产总值(GDP),2025-07-30,3.0,2.5,-0.5
美国国内生产总值(GDP),2025-08-28,3.3,3.0,-0.5
