债券代码,债券名称,正股代码,正股名称,债券评级,申购日期,发行规模(亿),网上发行中签率(%),上市日期,到期日期,期限(年),利率说明
123257,安克转债,300866,安克创新,AA+,2025-06-16 00:00:00,11.0482,0.0026475779,2025-07-04 00:00:00,2031-06-16 00:00:00,6,第一年0.2%、第二年0.4%、第三年0.6%、第四年1.5%、第五年1.8%、第六年2.0%。
127109,电化转债,002125,湘潭电化,AA,2025-06-16 00:00:00,4.87,0.0015321157,2025-07-04 00:00:00,2031-06-16 00:00:00,6,本次发行的可转换公司债券票面利率为第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年1.80%、第六年2.00%。到期赎回价为110.00元(含最后一期利息)。
118056,路维转债,688401,路维光电,AA-,2025-06-11 00:00:00,6.15,0.00165975,2025-07-10 00:00:00,2031-06-11 00:00:00,6,本次发行的可转债票面利率为第一年0.2%、第二年0.4%、第三年0.8%、第四年1.0%、第五年1.6%、第六年2.0%。
123256,恒帅转债,300969,恒帅股份,A+,2025-05-29 00:00:00,3.2759,0.0003825294,2025-06-17 00:00:00,2031-05-29 00:00:00,6,第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年2.00%、第六年2.50%。
118055,伟测转债,688372,伟测科技,AA,2025-04-09 00:00:00,11.75,0.00471648,2025-04-30 00:00:00,2031-04-09 00:00:00,6,"本次发行的可转债票面利率设定为:第一年0.10%,第二年0.30%,第三年0.60%,第四年1.00%,第五年1.50%,第六年2.00%。"
113694,清源转债,603628,清源股份,A+,2025-04-08 00:00:00,5.0,0.00208787,2025-04-25 00:00:00,2031-04-08 00:00:00,6,本次发行的可转债票面利率为第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年2.00%、第六年2.50%。
118054,安集转债,688019,安集科技,AA-,2025-04-07 00:00:00,8.305,0.00398045,2025-04-25 00:00:00,2031-04-07 00:00:00,6,本次发行的可转债票面利率设定为:第一年0.30%、第二年0.50%、第三年1.00%、第四年1.50%、第五年2.00%、第六年2.50%。
123255,鼎龙转债,300054,鼎龙股份,AA,2025-04-02 00:00:00,9.1,0.0032754809,2025-04-23 00:00:00,2031-04-02 00:00:00,6,第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年1.80%、第六年2.00%。
127108,太能转债,000591,太阳能,AA+,2025-03-28 00:00:00,29.5,0.0135084085,2025-04-16 00:00:00,2031-03-28 00:00:00,6,第一年为0.20%、第二年为0.40%、第三年为1.00%、第四年为1.50%、第五年为2.00%、第六年为3.00%。
123254,亿纬转债,300014,亿纬锂能,AA+,2025-03-24 00:00:00,50.0,0.0396868603,2025-04-11 00:00:00,2031-03-24 00:00:00,6,第一年0.20%、第二年0.40%、第三年0.60%、第四年1.50%、第五年1.80%、第六年2.00%。
113693,志邦转债,603801,志邦家居,AA,2025-03-18 00:00:00,6.7,0.00171145,2025-04-08 00:00:00,2031-03-18 00:00:00,6,本次发行的可转换公司债券票面利率为第一年0.3%、第二年0.5%、第三年0.8%、第四年1.2%、第五年1.8%、第六年2.0%。
118053,正帆转债,688596,正帆科技,AA,2025-03-18 00:00:00,10.41095,0.00392766,2025-04-03 00:00:00,2031-03-18 00:00:00,6,本次发行的可转换公司债券票面利率为第一年0.20%、第二年0.40%、第三年0.60%、第四年1.20%、第五年1.60%、第六年2.00%。
118052,浩瀚转债,688292,浩瀚深度,A+,2025-03-13 00:00:00,3.5429,0.0012572,2025-04-07 00:00:00,2031-03-13 00:00:00,6,本次发行的可转换公司债券票面利率为第一年0.2%、第二年0.4%、第三年0.8%、第四年1.5%、第五年2.0%、第六年2.5%。
123253,永贵转债,300351,永贵电器,AA-,2025-03-13 00:00:00,9.8,0.0031973118,2025-03-28 00:00:00,2031-03-13 00:00:00,6,第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年1.90%、第六年2.30%。
113070,渝水转债,601158,重庆水务,AAA,2025-01-09 00:00:00,19.0,0.01357232,2025-02-13 00:00:00,2031-01-09 00:00:00,6,本次发行的可转换公司债券票面利率为第一年0.20%、第二年0.40%、第三年0.60%、第四年0.80%、第五年1.50%、第六年2.00%。
123252,银邦转债,300337,银邦股份,AA-,2025-01-07 00:00:00,7.85,0.0051516331,2025-01-24 00:00:00,2031-01-07 00:00:00,6,"本次发行的可转债票面利率设定为:第一年为0.20%,第二年为0.40%,第三年为0.80%,第四年为1.50%,第五年为1.90%,第六年为2.30%。"
110098,南药转债,600713,南京医药,AA+,2024-12-25 00:00:00,10.81491,0.00494045,2025-01-20 00:00:00,2030-12-25 00:00:00,6,本次发行的可转债票面利率为第一年0.20%、第二年0.40%、第三年0.60%、第四年1.50%、第五年1.80%、第六年2.00%。
123251,华医转债,301235,华康洁净,A+,2024-12-23 00:00:00,7.5,0.0027141027,2025-01-09 00:00:00,2030-12-23 00:00:00,6,本次发行的可转债票面利率第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年2.00%、第六年2.50%。到期赎回价为115.00元(含最后一期利息)。
118051,皓元转债,688131,皓元医药,AA-,2024-11-28 00:00:00,8.2235,0.00341,2024-12-19 00:00:00,2030-11-28 00:00:00,6,第一年0.20%、第二年0.40%、第三年0.80%、第四年1.20%、第五年1.60%、第六年2.00%。
127107,领益转债,002600,领益智造,AA+,2024-11-18 00:00:00,21.374181,0.005752783,2024-12-06 00:00:00,2030-11-18 00:00:00,6,"第一年0.20%,第二年0.40%,第三年0.60%,第四年1.50%,第五年1.80%,第六年2.00%。到期赎回价为108.00元(含最后一期利息)。"
123250,嘉益转债,301004,嘉益股份,A+,2024-11-07 00:00:00,3.979384,0.0032254984,2024-11-26 00:00:00,2030-11-07 00:00:00,6,本次发行的可转债票面利率设定为:第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年2.00%、第六年2.50%。
113692,保隆转债,603197,保隆科技,AA,2024-10-31 00:00:00,13.9,0.00558023,2024-11-27 00:00:00,2030-10-31 00:00:00,6,本次发行的可转债票面利率设定为:第一年0.10%、第二年0.30%、第三年0.60%、第四年1.00%、第五年1.50%、第六年2.00%。到期赎回价为110元(含最后一期利息)。
113691,和邦转债,603077,和邦生物,AA,2024-10-28 00:00:00,46.0,0.02407311,2024-11-19 00:00:00,2030-10-28 00:00:00,6,本次发行的可转债票面利率设定为:第一年0.30%、第二年0.50%、第三年1.00%、第四年1.50%、第五年1.80%、第六年2.00%。
110097,天润转债,600419,天润乳业,AA,2024-10-24 00:00:00,9.9,0.00442529,2024-11-15 00:00:00,2030-10-24 00:00:00,6,本次发行的可转债票面利率为第一年0.30%、第二年0.50%、第三年1.00%、第四年1.50%、第五年1.80%、第六年2.00%。
123249,英搏转债,300681,英搏尔,AA,2024-10-24 00:00:00,8.171597,0.0034318708,2024-11-11 00:00:00,2030-10-24 00:00:00,6,本次发行的可转债票面利率第一年0.30%、第二年0.50%、第三年1.00%、第四年1.50%、第五年1.80%、第六年2.00%。
113690,豪24转债,603809,豪能股份,AA-,2024-10-23 00:00:00,5.5,0.00131908,2024-11-20 00:00:00,2030-10-23 00:00:00,6,"第一年0.20%,第二年0.40%,第三年0.80%,第四年1.50%,第五年1.90%,第六年2.10%。"
113688,国检转债,603060,国检集团,AA+,2024-10-17 00:00:00,8.0,0.00202207,2024-11-12 00:00:00,2030-10-17 00:00:00,6,第一年0.2%、第二年0.4%、第三年0.6%、第四年1.5%、第五年1.8%、第六年2.0%。
113689,洛凯转债,603829,洛凯股份,AA-,2024-10-17 00:00:00,4.03431,0.00053307,2024-11-11 00:00:00,2030-10-17 00:00:00,6,第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年2.00%、第六年2.50%。
118050,航宇转债,688239,航宇科技,AA-,2024-08-21 00:00:00,6.67,0.00327929,2024-09-10 00:00:00,2030-08-21 00:00:00,6,本次发行的可转债票面利率设定为:第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年2.00%、第六年2.50%。
123248,恒辉转债,300952,恒辉安防,AA-,2024-08-21 00:00:00,5.0,0.000912737,2024-09-12 00:00:00,2025-08-01 00:00:00,0.9452,第一年为0.20%、第二年为0.40%、第三年为0.60%、第四年为1.50%、第五年为1.80%、第六年为2.00%。
123247,万凯转债,301216,万凯新材,AA,2024-08-16 00:00:00,27.0,0.0219868882,2024-09-05 00:00:00,2030-08-16 00:00:00,6,第一年0.3%、第二年0.5%、第三年1.0%、第四年1.5%、第五年1.8%、第六年2.0%。
123246,远信转债,301053,远信工业,A,2024-08-16 00:00:00,2.86467,0.0003409553,2024-09-03 00:00:00,2030-08-16 00:00:00,6,本次发行的可转债票面利率设定为:第一年0.50%、第二年0.70%、第三年1.00%、第四年1.70%、第五年2.50%、第六年3.00%。
123245,集智转债,300553,集智股份,A,2024-08-14 00:00:00,2.546,0.0012028753,2024-08-28 00:00:00,2030-08-14 00:00:00,6,本次发行的可转债票面利率为第一年0.40%、第二年0.60%、第三年1.00%、第四年1.60%、第五年2.50%、第六年3.00%。
127106,伟隆转债,002871,伟隆股份,A,2024-08-13 00:00:00,2.6971,0.0004217956,2024-08-28 00:00:00,2025-08-01 00:00:00,0.9671,本次发行的可转债票面利率第一年0.50%、第二年0.70%、第三年1.00%、第四年1.80%、第五年2.50%、第六年3.00%。到期赎回价为115.00元(含最后一期利息)。
110096,豫光转债,600531,豫光金铅,AA,2024-08-12 00:00:00,7.1,0.00408851,2024-09-03 00:00:00,2030-08-12 00:00:00,6,本次发行的可转债票面利率第一年0.10%、第二年0.30%、第三年0.60%、第四年1.00%、第五年1.50%、第六年2.00%。
118049,汇成转债,688403,汇成股份,AA-,2024-08-07 00:00:00,11.487,0.00606009,2024-09-02 00:00:00,2030-08-07 00:00:00,6,本次发行的可转换公司债券票面利率为第一年0.20%、第二年0.40%、第三年0.60%、第四年1.50%、第五年1.80%、第六年2.00%。
123244,松原转债,300893,松原安全,A+,2024-08-01 00:00:00,4.1,0.0006162684,2024-08-22 00:00:00,2030-08-01 00:00:00,6,第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年2.00%、第六年2.50%。
111021,奥锐转债,605116,奥锐特,AA-,2024-07-26 00:00:00,8.1212,0.00154693,2024-08-15 00:00:00,2030-07-26 00:00:00,6,本次发行的可转换公司债券票面利率为第一年0.30%、第二年0.40%、第三年0.80%、第四年1.50%、第五年2.00%、第六年2.50%。
111020,合顺转债,605166,聚合顺,AA-,2024-07-22 00:00:00,3.38,0.00085277,2024-08-15 00:00:00,2030-07-22 00:00:00,6,第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年2.00%、第六年2.50%。
113687,振华转债,603067,振华股份,AA,2024-07-12 00:00:00,4.0621,0.00133007,2024-08-02 00:00:00,2030-07-12 00:00:00,6,本次发行的可转债票面利率为第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年1.80%、第六年2.00%。
123243,严牌转债,301081,严牌股份,A+,2024-07-10 00:00:00,4.678889,0.0010868486,2024-07-26 00:00:00,2030-07-10 00:00:00,6,第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年2.00%、第六年2.50%。
123242,赛龙转债,301131,聚赛龙,A+,2024-07-08 00:00:00,2.5,0.0008402282,2024-07-29 00:00:00,2030-07-08 00:00:00,6,第一年0.30%、第二年0.50%、第三年1.00%、第四年1.70%、第五年2.30%、第六年2.80%。
123241,欧通转债,300870,欧陆通,AA-,2024-07-05 00:00:00,6.445265,0.0026145421,2024-07-26 00:00:00,2030-07-05 00:00:00,6,第一年0.10%、第二年0.30%、第三年0.60%、第四年1.00%、第五年1.50%、第六年2.00%。
113686,泰瑞转债,603289,泰瑞机器,AA-,2024-07-02 00:00:00,3.378,0.00058458,2024-07-24 00:00:00,2030-07-02 00:00:00,6,本次发行的可转换公司债券票面利率为第一年0.30%、第二年0.50%、第三年1.00%、第四年1.50%、第五年2.00%、第六年2.50%。
118048,利扬转债,688135,利扬芯片,A+,2024-07-02 00:00:00,5.2,0.00446186,2024-07-19 00:00:00,2030-07-02 00:00:00,6,"本次发行的可转换公司债券票面利率为第一年为0.2%,第二年为0.4%,第三年为0.8%,第四年为1.5%,第五年为2.0%,第六年为2.5%。"
113685,升24转债,603305,旭升集团,AA-,2024-06-14 00:00:00,28.0,0.03292173,2024-07-10 00:00:00,2030-06-14 00:00:00,6,本次发行的可转债票面利率为第一年0.20%、第二年0.40%、第三年0.60%、第四年1.50%、第五年1.80%、第六年2.00%。
111019,宏柏转债,605366,宏柏新材,AA-,2024-04-17 00:00:00,9.6,0.00419888,2024-05-14 00:00:00,2030-04-17 00:00:00,6,本次发行的可转债票面利率设定为:第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年2.00%、第六年2.50%。
113684,湘泵转债,603319,美湖股份,AA-,2024-04-01 00:00:00,5.7739,0.00159843,2024-04-29 00:00:00,2025-04-09 00:00:00,1.0219,第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年2.00%、第六年2.50%。
113683,伟24转债,603568,伟明环保,AA,2024-03-28 00:00:00,2.85,0.00033243,2024-04-22 00:00:00,2030-03-28 00:00:00,6,本次发行的可转债票面利率为第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年1.80%、第六年2.00%。
113682,益丰转债,603939,益丰药房,AA,2024-03-04 00:00:00,17.97432,0.01059669,2024-03-27 00:00:00,2030-03-04 00:00:00,6,本次发行的可转债票面利率设定为:第一年0.30%、第二年0.50%、第三年1.00%、第四年1.50%、第五年1.80%、第六年2.00%。
127105,龙星转债,002442,龙星科技,AA-,2024-02-01 00:00:00,7.547539,0.0054914743,2024-03-06 00:00:00,2030-02-01 00:00:00,6,本次发行的可转债票面利率第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年2.00%、第六年2.50%。
123240,楚天转债,300358,楚天科技,AA,2024-01-31 00:00:00,10.0,0.0043068188,2024-02-29 00:00:00,2030-01-31 00:00:00,6,第一年0.30%、第二年0.50%、第三年1.00%、第四年1.50%、第五年1.80%、第六年2.00%。
127104,姚记转债,002605,姚记科技,A+,2024-01-25 00:00:00,5.831273,0.0018660693,2024-02-26 00:00:00,2030-01-25 00:00:00,6,第一年0.30%、第二年0.50%、第三年1.00%、第四年1.70%、第五年2.50%、第六年3.00%。
123239,锋工转债,300488,恒锋工具,A+,2024-01-19 00:00:00,6.2,0.0007342904,2024-02-22 00:00:00,2030-01-19 00:00:00,6,本次发行的可转债票面利率第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年2.00%、第六年2.50%。
123238,卡倍转02,300863,卡倍亿,A+,2024-01-11 00:00:00,5.29,0.0008165958,2024-02-01 00:00:00,2025-01-15 00:00:00,1.011,本次发行的可转债票面利率第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年2.00%、第六年2.50%。
123237,佳禾转债,300793,佳禾智能,A+,2024-01-04 00:00:00,10.04,0.0042312552,2024-01-24 00:00:00,2030-01-04 00:00:00,6,第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年2.00%、第六年2.50%。
127103,东南转债,002135,东南网架,AA,2024-01-03 00:00:00,20.0,0.0063762297,2024-01-24 00:00:00,2030-01-03 00:00:00,6,"本次发行的可转债票面利率第一年0.30%,第二年0.50%,第三年1.00%,第四年1.50%,第五年1.80%,第六年2.00%。"
113681,镇洋转债,603213,镇洋发展,AA-,2023-12-29 00:00:00,6.6,0.00098724,2024-01-17 00:00:00,2029-12-29 00:00:00,6,本次发行的可转换公司债券票面利率为第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年2.00%、第六年2.50%。
111018,华康转债,605077,华康股份,AA-,2023-12-25 00:00:00,13.03023,0.00278331,2024-01-15 00:00:00,2029-12-25 00:00:00,6,第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年2.00%、第六年2.50%。到期赎回价为115元(含最后一期利息)。
127102,浙建转债,002761,浙江建投,AA+,2023-12-25 00:00:00,10.0,0.005139885,2024-01-16 00:00:00,2029-12-25 00:00:00,6,"第一年0.20%,第二年0.40%,第三年0.60%,第四年1.50%,第五年1.80%,第六年2.00%。"
123236,家联转债,301193,家联科技,AA-,2023-12-22 00:00:00,7.5,0.0009433278,2024-01-18 00:00:00,2029-12-22 00:00:00,6,"第一年0.20%,第二年0.50%,第三年0.80%,第四年1.50%,第五年1.80%,第六年2.00%。"
113069,博23转债,601137,博威合金,AA,2023-12-22 00:00:00,17.0,0.00671801,2024-01-18 00:00:00,2028-12-22 00:00:00,5,本次发行的可转债票面利率为第一年0.3%、第二年0.5%、第三年0.8%、第四年1.5%、第五年1.8%。
127101,豪鹏转债,001283,豪鹏科技,AA-,2023-12-22 00:00:00,11.0,0.0043906434,2024-01-11 00:00:00,2025-08-29 00:00:00,1.6877,本次发行的可转债票面利率第一年0.30%、第二年0.50%、第三年1.00%、第四年1.50%、第五年1.90%、第六年2.10%。
127100,神码转债,000034,神州数码,AA,2023-12-21 00:00:00,13.38999,0.0044770632,2024-01-19 00:00:00,2025-03-28 00:00:00,1.2685,第一年为0.3%、第二年为0.5%、第三年为1.0%、第四年为1.5%、第五年为1.8%、第六年为2.0%。
123235,亿田转债,300911,亿田智能,AA-,2023-12-21 00:00:00,5.2021,0.0010338434,2024-01-12 00:00:00,2029-12-21 00:00:00,6,"第一年为0.30%,第二年为0.50%,第三年为1.00%,第四年为1.50%,第五年为2.00%,第六年为2.50%。"
118046,诺泰转债,688076,诺泰生物,A+,2023-12-15 00:00:00,4.34,0.00172269,2024-01-18 00:00:00,2025-04-25 00:00:00,1.3616,本次发行的可转债票面利率为第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年2.00%、第六年2.50%。
123234,中能转债,300062,中能电气,A+,2023-12-11 00:00:00,4.0,0.001357269,2023-12-29 00:00:00,2029-12-11 00:00:00,6,第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年1.80%、第六年2.50%。
127099,盛航转债,001205,盛航股份,AA-,2023-12-06 00:00:00,7.4,0.0027218265,2023-12-28 00:00:00,2029-12-06 00:00:00,6,第一年0.3%、第二年0.5%、第三年1.0%、第四年1.5%、第五年2.2%、第六年3.0%。
123233,凯盛转债,301069,凯盛新材,AA-,2023-11-29 00:00:00,6.5,0.0012234346,2023-12-15 00:00:00,2029-11-29 00:00:00,6,本次发行的可转债票面利率设定为:第一年0.2%、第二年0.4%、第三年0.8%、第四年1.5%、第五年2.0%、第六年2.5%。
123232,金现转债,300830,金现代,A+,2023-11-27 00:00:00,2.025125,0.0014685712,2023-12-19 00:00:00,2025-09-24 00:00:00,1.8274,本次发行的可转债票面利率第一年0.30%、第二年0.50%、第三年1.00%、第四年1.70%、第五年2.40%、第六年3.00%。
127098,欧晶转债,001269,欧晶科技,AA-,2023-11-24 00:00:00,4.7,0.0017127732,2023-12-15 00:00:00,2029-11-24 00:00:00,6,"第一年0.2%,第二年0.4%,第三年0.8%,第四年1.5%,第五年1.8%,第六年2.0%。"
113680,丽岛转债,603937,丽岛新材,A+,2023-11-15 00:00:00,3.0,0.00048969,2023-12-05 00:00:00,2029-11-15 00:00:00,6,第一年0.20%、第二年0.40%、第三年1.00%、第四年1.80%、第五年2.50%、第六年3.00%。
123230,金钟转债,301133,金钟股份,A,2023-11-09 00:00:00,3.5,0.0004519079,2023-12-01 00:00:00,2029-11-09 00:00:00,6,第一年为0.40%、第二年为0.60%、第三年为1.00%、第四年为1.80%、第五年为2.50%、第六年为3.00%。
123231,信测转债,300938,信测标准,AA-,2023-11-09 00:00:00,5.45,0.0010515875,2023-11-29 00:00:00,2025-09-08 00:00:00,1.8329,第一年0.20%、第二年0.50%、第三年1.00%、第四年1.50%、第五年2.00%、第六年2.50%。
127097,三羊转债,001317,三羊马,A+,2023-10-26 00:00:00,2.1,0.0004248122,2023-11-17 00:00:00,2029-10-26 00:00:00,6,"第一年0.30%,第二年0.50%,第三年1.00%,第四年1.60%,第五年2.30%,第六年2.80%。"
113679,芯能转债,603105,芯能科技,AA-,2023-10-26 00:00:00,8.8,0.00265816,2023-11-24 00:00:00,2029-10-26 00:00:00,6,"第一年0.30%,第二年0.50%,第三年1.00%,第四年1.50%,第五年2.00%,第六年2.50%。"
127096,泰坦转债,003036,泰坦股份,A,2023-10-25 00:00:00,2.955,0.0004295598,2023-11-15 00:00:00,2029-10-25 00:00:00,6,本次发行的可转债票面利率第一年0.50%、第二年0.70%、第三年1.00%、第四年1.70%、第五年2.50%、第六年3.00%。
123229,艾录转债,301062,上海艾录,A+,2023-10-23 00:00:00,5.0,0.0015666985,2023-11-20 00:00:00,2029-10-23 00:00:00,6,第一年0.30%、第二年0.50%、第三年1.00%、第四年1.80%、第五年2.50%、第六年3.00%。
123228,震裕转债,300953,震裕科技,AA-,2023-10-20 00:00:00,11.95,0.0033437479,2023-11-09 00:00:00,2025-04-23 00:00:00,1.5096,本次发行的可转债票面利率第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年2.00%、第六年2.50%。
123227,雅创转债,301099,雅创电子,A+,2023-10-20 00:00:00,3.63,0.0008851171,2023-11-10 00:00:00,2025-04-01 00:00:00,1.4493,"第一年0.3%,第二年0.5%,第三年1.0%,第四年1.5%,第五年2.5%,第六年3.0%。"
113678,中贝转债,603220,中贝通信,A+,2023-10-19 00:00:00,5.17,0.00148949,2023-11-21 00:00:00,2029-10-19 00:00:00,6,本次发行的可转换公司债券票面利率为第一年0.20%、第二年0.40%、第三年1.20%、第四年1.80%、第五年2.50%、第六年3.00%。
127095,广泰转债,002111,威海广泰,AA-,2023-10-18 00:00:00,7.0,0.0022347742,2023-11-10 00:00:00,2029-10-18 00:00:00,6,本次发行的可转债票面利率第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年2.00%、第六年2.50%。
127094,红墙转债,002809,红墙股份,A+,2023-10-18 00:00:00,3.16,0.000963578,2023-11-08 00:00:00,2029-10-18 00:00:00,6,本次发行的可转债票面利率第一年0.30%、第二年0.50%、第三年1.00%、第四年1.70%、第五年2.40%、第六年3.00%。
127093,章鼓转债,002598,山东章鼓,A+,2023-10-17 00:00:00,2.43,0.0007387761,2023-11-03 00:00:00,2029-10-17 00:00:00,6,第一年为0.25%、第二年为0.45%、第三年为0.90%、第四年为1.70%、第五年为2.50%、第六年为2.80%。
123226,中富转债,300814,中富电路,AA-,2023-10-16 00:00:00,5.2,0.0008351318,2023-11-03 00:00:00,2025-04-11 00:00:00,1.4877,第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年1.80%、第六年2.50%。
123225,翔丰转债,300890,翔丰华,AA-,2023-10-10 00:00:00,8.0,0.0035777723,2023-10-26 00:00:00,2029-10-10 00:00:00,6,"第一年0.30%,第二年0.50%,第三年1.00%,第四年1.50%,第五年2.00%,第六年3.00%。"
127092,运机转债,001288,运机集团,AA-,2023-09-21 00:00:00,7.3,0.0017956304,2023-10-20 00:00:00,2029-09-21 00:00:00,6,第一年0.20%、第二年0.40%、第三年1.00%、第四年1.50%、第五年2.00%、第六年3.20%。
123224,宇邦转债,301266,宇邦新材,A+,2023-09-19 00:00:00,5.0,0.0009705603,2023-10-18 00:00:00,2029-09-19 00:00:00,6,第一年0.20%、第二年0.40%、第三年0.60%、第四年1.70%、第五年2.40%、第六年3.00%。
123223,九典转02,300705,九典制药,A+,2023-09-15 00:00:00,3.6,0.0006352217,2023-10-13 00:00:00,2029-09-15 00:00:00,6,第一年0.30%、第二年0.50%、第三年1.00%、第四年1.50%、第五年2.50%、第六年3.00%。
113677,华懋转债,603306,华懋科技,AA-,2023-09-14 00:00:00,10.5,0.00326065,2023-10-12 00:00:00,2029-09-14 00:00:00,6,本次发行的可转债票面利率为第一年0.30%、第二年0.50%、第三年1.00%、第四年1.50%、第五年1.80%、第六年2.00%。
118045,盟升转债,688311,盟升电子,A,2023-09-12 00:00:00,3.0,0.00089357,2023-10-17 00:00:00,2029-09-12 00:00:00,6,本次发行的可转债票面利率为第一年0.20%、第二年0.40%、第三年0.60%、第四年1.50%、第五年1.80%、第六年2.50%。
118044,赛特转债,688398,赛特新材,A+,2023-09-11 00:00:00,4.42,0.00056949,2023-10-12 00:00:00,2029-09-11 00:00:00,6,本次发行的可转债票面利率为第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年2.00%、第六年2.50%。
123222,博俊转债,300926,博俊科技,A+,2023-09-08 00:00:00,5.0,0.0010404561,2023-09-28 00:00:00,2029-09-08 00:00:00,6,第一年0.2%、第二年0.4%、第三年1.0%、第四年1.5%、第五年1.8%、第六年2.5%。
123221,力诺转债,301188,力诺药包,A+,2023-08-23 00:00:00,5.0,0.0018983056,2023-09-14 00:00:00,2029-08-23 00:00:00,6,本次发行的可转债票面利率第一年0.30%、第二年0.50%、第三年1.00%、第四年1.50%、第五年1.80%、第六年2.50%。
127091,科数转债,002335,科华数据,AA,2023-08-23 00:00:00,14.92068,0.0052497071,2023-09-12 00:00:00,2025-04-16 00:00:00,1.6493,"第一年为0.30%,第二年为0.50%,第三年为1.00%,第四年为1.50%,第五年为1.80%,第六年为2.00%。"
