商品,日期,今值,预测值,前值
中国官方制造业PMI,2011-05-01,52.9,,53.4
中国官方制造业PMI,2011-06-01,52.0,,52.9
中国官方制造业PMI,2011-07-01,50.9,,52.0
中国官方制造业PMI,2011-08-01,50.7,,50.9
中国官方制造业PMI,2011-09-01,50.9,,50.7
中国官方制造业PMI,2011-10-01,51.2,,50.9
中国官方制造业PMI,2011-11-01,50.4,,51.2
中国官方制造业PMI,2011-12-01,49.0,,50.4
中国官方制造业PMI,2012-01-01,50.3,,49.0
中国官方制造业PMI,2012-02-01,50.5,,50.3
中国官方制造业PMI,2012-03-01,51.0,,50.5
中国官方制造业PMI,2012-04-01,53.1,51.0,51.0
中国官方制造业PMI,2012-05-01,53.3,53.6,53.1
中国官方制造业PMI,2012-06-01,50.4,52.2,53.3
中国官方制造业PMI,2012-07-01,50.2,49.8,50.4
中国官方制造业PMI,2012-08-01,50.1,50.3,50.2
中国官方制造业PMI,2012-09-01,49.2,50.0,50.1
中国官方制造业PMI,2012-10-01,49.8,49.8,49.2
中国官方制造业PMI,2012-11-01,50.2,50.3,49.8
中国官方制造业PMI,2012-12-01,50.6,50.6,50.2
中国官方制造业PMI,2013-01-01,50.6,51.0,50.6
中国官方制造业PMI,2013-02-01,50.4,50.9,50.6
中国官方制造业PMI,2013-03-01,50.1,50.2,50.4
中国官方制造业PMI,2013-04-01,50.9,52.0,50.1
中国官方制造业PMI,2013-05-01,50.6,51.0,50.9
中国官方制造业PMI,2013-06-01,50.8,50.1,50.6
中国官方制造业PMI,2013-07-01,50.1,50.0,50.8
中国官方制造业PMI,2013-08-01,50.3,49.9,50.1
中国官方制造业PMI,2013-09-01,51.0,50.6,50.3
中国官方制造业PMI,2013-10-01,51.1,51.5,51.0
中国官方制造业PMI,2013-11-01,51.4,51.2,51.1
中国官方制造业PMI,2013-12-01,51.4,51.1,51.4
中国官方制造业PMI,2014-01-01,51.0,51.2,51.4
中国官方制造业PMI,2014-02-01,50.5,50.5,51.0
中国官方制造业PMI,2014-03-01,50.2,50.1,50.5
中国官方制造业PMI,2014-04-01,50.3,50.3,50.2
中国官方制造业PMI,2014-05-01,50.4,50.5,50.3
中国官方制造业PMI,2014-06-01,50.8,50.6,50.4
中国官方制造业PMI,2014-07-01,51.0,51.0,50.8
中国官方制造业PMI,2014-08-01,51.7,51.4,51.0
中国官方制造业PMI,2014-09-01,51.1,51.2,51.7
中国官方制造业PMI,2014-10-01,51.1,51.0,51.1
中国官方制造业PMI,2014-11-01,50.8,51.2,51.1
中国官方制造业PMI,2014-12-01,50.3,50.5,50.8
中国官方制造业PMI,2015-01-01,50.1,50.1,50.3
中国官方制造业PMI,2015-02-01,49.8,50.2,50.1
中国官方制造业PMI,2015-03-01,49.9,49.7,49.8
中国官方制造业PMI,2015-04-01,50.1,49.7,49.9
中国官方制造业PMI,2015-05-01,50.1,50.0,50.1
中国官方制造业PMI,2015-06-01,50.2,50.2,50.1
中国官方制造业PMI,2015-07-01,50.2,50.3,50.2
中国官方制造业PMI,2015-08-01,50.0,50.2,50.2
中国官方制造业PMI,2015-09-01,49.7,49.7,50.0
中国官方制造业PMI,2015-10-01,49.8,49.6,49.7
中国官方制造业PMI,2015-11-01,49.8,50.0,49.8
中国官方制造业PMI,2015-12-01,49.6,49.8,49.8
中国官方制造业PMI,2016-01-01,49.7,49.7,49.6
中国官方制造业PMI,2016-02-01,49.4,49.6,49.7
中国官方制造业PMI,2016-03-01,49.0,49.3,49.4
中国官方制造业PMI,2016-04-01,50.2,49.3,49.0
中国官方制造业PMI,2016-05-01,50.1,50.4,50.2
中国官方制造业PMI,2016-06-01,50.1,50.0,50.1
中国官方制造业PMI,2016-07-01,50.0,50.0,50.1
中国官方制造业PMI,2016-08-01,49.9,50.0,50.0
中国官方制造业PMI,2016-09-01,50.4,49.9,49.9
中国官方制造业PMI,2016-10-01,50.4,50.4,50.4
中国官方制造业PMI,2016-11-01,51.2,50.4,50.4
中国官方制造业PMI,2016-12-01,51.7,51.0,51.2
中国官方制造业PMI,2017-01-01,51.4,51.5,51.7
中国官方制造业PMI,2017-02-01,51.3,51.2,51.4
中国官方制造业PMI,2017-03-01,51.6,51.1,51.3
中国官方制造业PMI,2017-03-31,51.8,51.6,51.6
中国官方制造业PMI,2017-04-30,51.2,51.6,51.8
中国官方制造业PMI,2017-05-31,51.2,51.0,51.2
中国官方制造业PMI,2017-06-30,51.7,51.0,51.2
中国官方制造业PMI,2017-07-31,51.4,51.6,51.7
中国官方制造业PMI,2017-08-31,51.7,51.3,51.4
中国官方制造业PMI,2017-09-30,52.4,51.5,51.7
中国官方制造业PMI,2017-10-31,51.6,52.0,52.4
中国官方制造业PMI,2017-11-30,51.8,51.4,51.6
中国官方制造业PMI,2017-12-31,51.6,51.6,51.8
中国官方制造业PMI,2018-01-31,51.3,51.5,51.6
中国官方制造业PMI,2018-02-28,50.3,51.4,51.3
中国官方制造业PMI,2018-03-31,51.5,50.5,50.3
中国官方制造业PMI,2018-04-30,51.4,51.3,51.5
中国官方制造业PMI,2018-05-31,51.9,51.4,51.4
中国官方制造业PMI,2018-06-30,51.5,51.6,51.9
中国官方制造业PMI,2018-07-31,51.2,51.4,51.5
中国官方制造业PMI,2018-08-31,51.3,51.0,51.2
中国官方制造业PMI,2018-09-30,50.8,51.2,51.3
中国官方制造业PMI,2018-10-31,50.2,50.6,50.8
中国官方制造业PMI,2018-11-30,50.0,50.2,50.2
中国官方制造业PMI,2018-12-31,49.4,50.0,50.0
中国官方制造业PMI,2019-01-31,49.5,49.3,49.4
中国官方制造业PMI,2019-02-28,49.2,49.5,49.5
中国官方制造业PMI,2019-03-31,50.5,49.5,49.2
中国官方制造业PMI,2019-04-30,50.1,50.7,50.5
中国官方制造业PMI,2019-05-31,49.4,49.9,50.1
中国官方制造业PMI,2019-06-30,49.4,49.5,49.4
中国官方制造业PMI,2019-07-31,49.7,49.6,49.4
中国官方制造业PMI,2019-08-31,49.5,49.7,49.7
中国官方制造业PMI,2019-09-30,49.8,49.5,49.5
中国官方制造业PMI,2019-10-31,49.3,49.9,49.8
中国官方制造业PMI,2019-11-30,50.2,49.5,49.3
中国官方制造业PMI,2019-12-31,50.2,50.1,50.2
中国官方制造业PMI,2020-01-31,50.0,50.0,50.2
中国官方制造业PMI,2020-02-29,35.7,46.0,50.0
中国官方制造业PMI,2020-03-31,52.0,45.0,35.7
中国官方制造业PMI,2020-04-30,50.8,51.0,52.0
中国官方制造业PMI,2020-05-31,50.6,51.0,50.8
中国官方制造业PMI,2020-06-30,50.9,50.4,50.6
中国官方制造业PMI,2020-07-31,51.1,50.7,50.9
中国官方制造业PMI,2020-08-31,51.0,51.2,51.1
中国官方制造业PMI,2020-09-30,51.5,51.2,51.0
中国官方制造业PMI,2020-10-31,51.4,51.3,51.5
中国官方制造业PMI,2020-11-30,52.1,51.5,51.4
中国官方制造业PMI,2020-12-31,51.9,52.0,52.1
中国官方制造业PMI,2021-01-31,51.3,51.6,51.9
中国官方制造业PMI,2021-02-28,50.6,51.1,51.3
中国官方制造业PMI,2021-03-31,51.9,51.0,50.6
中国官方制造业PMI,2021-04-30,51.1,51.7,51.9
中国官方制造业PMI,2021-05-31,51.0,51.1,51.1
中国官方制造业PMI,2021-06-30,50.9,50.8,51.0
中国官方制造业PMI,2021-07-31,50.4,50.8,50.9
中国官方制造业PMI,2021-08-31,50.1,50.2,50.4
中国官方制造业PMI,2021-09-30,49.6,50.1,50.1
中国官方制造业PMI,2021-10-31,49.2,49.7,49.6
中国官方制造业PMI,2021-11-30,50.1,49.6,49.2
中国官方制造业PMI,2021-12-31,50.3,50.0,50.1
中国官方制造业PMI,2022-01-30,50.1,50.0,50.3
中国官方制造业PMI,2022-01-31,,50.0,50.3
中国官方制造业PMI,2022-03-01,50.2,49.9,50.1
中国官方制造业PMI,2022-03-31,49.5,49.9,50.2
中国官方制造业PMI,2022-04-30,47.4,48.0,49.5
中国官方制造业PMI,2022-05-31,49.6,48.0,47.4
中国官方制造业PMI,2022-06-30,50.2,50.5,49.6
中国官方制造业PMI,2022-07-31,49.0,50.4,50.2
中国官方制造业PMI,2022-08-31,49.4,49.2,49.0
中国官方制造业PMI,2022-09-30,50.1,49.6,49.4
中国官方制造业PMI,2022-10-07,,,49.4
中国官方制造业PMI,2022-10-31,49.2,50.0,50.1
中国官方制造业PMI,2022-11-30,48.0,49.0,49.2
中国官方制造业PMI,2022-12-31,47.0,48.0,48.0
中国官方制造业PMI,2023-01-31,50.1,49.8,47.0
中国官方制造业PMI,2023-03-01,52.6,50.5,50.1
中国官方制造业PMI,2023-03-31,51.9,51.5,52.6
中国官方制造业PMI,2023-04-30,49.2,51.4,51.9
中国官方制造业PMI,2023-05-31,48.8,51.4,49.2
中国官方制造业PMI,2023-06-30,49.0,49.0,48.8
中国官方制造业PMI,2023-07-31,49.3,49.2,49.0
中国官方制造业PMI,2023-08-31,49.7,49.4,49.3
中国官方制造业PMI,2023-09-30,50.2,50.2,49.7
中国官方制造业PMI,2023-10-31,49.5,50.2,50.2
中国官方制造业PMI,2023-11-30,49.4,49.7,49.5
中国官方制造业PMI,2023-12-31,49.0,49.5,49.4
中国官方制造业PMI,2024-01-31,49.2,49.2,49.0
中国官方制造业PMI,2024-03-01,49.1,49.1,49.2
中国官方制造业PMI,2024-03-31,50.8,50.1,49.1
中国官方制造业PMI,2024-04-30,50.4,50.3,50.8
中国官方制造业PMI,2024-05-31,49.5,50.5,50.4
中国官方制造业PMI,2024-06-30,49.5,49.5,49.5
中国官方制造业PMI,2024-07-31,49.4,49.4,49.5
中国官方制造业PMI,2024-08-31,49.1,49.5,49.4
中国官方制造业PMI,2024-09-30,49.8,49.4,49.1
中国官方制造业PMI,2024-10-31,50.1,49.8,49.8
中国官方制造业PMI,2024-11-30,50.3,50.2,50.1
中国官方制造业PMI,2024-12-31,50.1,50.3,50.3
中国官方制造业PMI,2025-01-27,49.1,50.1,50.1
中国官方制造业PMI,2025-03-01,50.2,50.0,49.1
中国官方制造业PMI,2025-03-31,50.5,50.4,50.2
中国官方制造业PMI,2025-04-30,49.0,49.7,50.5
中国官方制造业PMI,2025-05-31,49.5,49.5,49.0
中国官方制造业PMI,2025-06-30,49.7,49.6,49.5
中国官方制造业PMI,2025-07-31,49.3,49.7,49.7
中国官方制造业PMI,2025-08-31,49.4,49.5,49.3
